PC:    0 |  SUB R0, R15, R15                |   REGISTER FILE: R0 =   0, R1 =   0, R2 =   0, R3 =   0, R4 =   0, R5 =   0, R6 =   0
PC:    0 |  SUB R0, R15, R15                |   REGISTER FILE: R0 =   0, R1 =   0, R2 =   0, R3 =   0, R4 =   0, R5 =   0, R6 =   0
PC:    0 |  SUB R0, R15, R15                |   REGISTER FILE: R0 =   0, R1 =   0, R2 =   0, R3 =   0, R4 =   0, R5 =   0, R6 =   0
PC:    4 |  ADD R1, R0, #50                 |   REGISTER FILE: R0 =   0, R1 =   0, R2 =   0, R3 =   0, R4 =   0, R5 =   0, R6 =   0
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =   0, R2 =   0, R3 =   0, R4 =   0, R5 =   0, R6 =   0
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =   0, R2 =   0, R3 =   0, R4 =   0, R5 =   0, R6 =   0
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =   0, R2 =   0, R3 =   0, R4 =   0, R5 =   0, R6 =   0
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =   0, R2 =   0, R3 =   0, R4 =   0, R5 =   0, R6 =   0
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   0, R3 =   0, R4 =   0, R5 =   0, R6 =   0
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   4, R3 =   0, R4 =   0, R5 =   0, R6 =   0
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   4, R3 =   1, R4 =   0, R5 =   0, R6 =   0
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   4, R3 =   1, R4 =   3, R5 =   0, R6 =   0
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   4, R3 =   3, R4 =   3, R5 =   0, R6 =   0
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   3, R3 =   3, R4 =   3, R5 =   0, R6 =   0
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   3, R3 =   3, R4 =   3, R5 =   0, R6 =   0
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   3, R3 =   3, R4 =   3, R5 =   0, R6 =   0
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   3, R3 =   3, R4 =   3, R5 =   0, R6 =   0
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   3, R3 =   4, R4 =   3, R5 =   0, R6 =   0
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   3, R3 =   4, R4 =   6, R5 =   0, R6 =   0
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   3, R3 =   3, R4 =   6, R5 =   0, R6 =   0
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   2, R3 =   3, R4 =   6, R5 =   0, R6 =   0
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   2, R3 =   3, R4 =   6, R5 =   0, R6 =   0
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   2, R3 =   3, R4 =   6, R5 =   0, R6 =   0
